com.surveillance.utilitiy.GenericKeywords.openBrowser(GenericKeywords.java:63)evel	2021-02-16 11:32:19 LoginTest: openBrowser action is started
com.surveillance.utilitiy.GenericKeywords.openBrowser(GenericKeywords.java:108)evel	2021-02-16 11:32:22 LoginTest: Chrome launched successfully
com.surveillance.utilitiy.GenericKeywords.openURL(GenericKeywords.java:221)evel	2021-02-16 11:32:22 LoginTest: Enter the URL action is started
com.surveillance.utilitiy.GenericKeywords.openURL(GenericKeywords.java:223)evel	2021-02-16 11:32:27 LoginTest: https://qa.liveviewtech.com/ opened successfully
com.surveillance.utilitiy.GenericKeywords.highlightElement(GenericKeywords.java:299)evel	2021-02-16 11:32:27 LoginPage: highlightElement action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:134)evel	2021-02-16 11:32:27 LoginPage: find element action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:135)evel	2021-02-16 11:32:27 LoginPage: locator indicator is : xpath
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:136)evel	2021-02-16 11:32:27 LoginPage: locator value is : //*[@id="email"]
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:164)evel	2021-02-16 11:32:28 LoginPage: find element action is Completed
com.surveillance.utilitiy.GenericKeywords.highlightElement(GenericKeywords.java:304)evel	2021-02-16 11:32:28 LoginPage: highlightElement action is Completed
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:134)evel	2021-02-16 11:32:28 LoginPage: find element action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:135)evel	2021-02-16 11:32:28 LoginPage: locator indicator is : xpath
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:136)evel	2021-02-16 11:32:28 LoginPage: locator value is : //*[@id="email"]
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:164)evel	2021-02-16 11:32:28 LoginPage: find element action is Completed
com.surveillance.utilitiy.GenericKeywords.clearEnter(GenericKeywords.java:555)evel	2021-02-16 11:32:28 LoginPage: clear and enter data is : sclient927+FSAR@gmail.com
com.surveillance.utilitiy.GenericKeywords.clearEnter(GenericKeywords.java:556)evel	2021-02-16 11:32:28 LoginPage: clear and enter action is completed
com.surveillance.utilitiy.GenericKeywords.highlightElement(GenericKeywords.java:299)evel	2021-02-16 11:32:28 LoginPage: highlightElement action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:134)evel	2021-02-16 11:32:28 LoginPage: find element action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:135)evel	2021-02-16 11:32:28 LoginPage: locator indicator is : xpath
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:136)evel	2021-02-16 11:32:28 LoginPage: locator value is : //*[@id="authForm"]/div/div/button
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:164)evel	2021-02-16 11:32:28 LoginPage: find element action is Completed
com.surveillance.utilitiy.GenericKeywords.highlightElement(GenericKeywords.java:304)evel	2021-02-16 11:32:28 LoginPage: highlightElement action is Completed
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:134)evel	2021-02-16 11:32:28 LoginPage: find element action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:135)evel	2021-02-16 11:32:28 LoginPage: locator indicator is : xpath
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:136)evel	2021-02-16 11:32:28 LoginPage: locator value is : //*[@id="authForm"]/div/div/button
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:164)evel	2021-02-16 11:32:28 LoginPage: find element action is Completed
com.surveillance.utilitiy.GenericKeywords.enterData(GenericKeywords.java:260)evel	2021-02-16 11:32:28 LoginPage: enter data action is started
com.surveillance.utilitiy.GenericKeywords.highlightElement(GenericKeywords.java:299)evel	2021-02-16 11:32:28 LoginPage: highlightElement action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:134)evel	2021-02-16 11:32:28 LoginPage: find element action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:135)evel	2021-02-16 11:32:28 LoginPage: locator indicator is : xpath
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:136)evel	2021-02-16 11:32:28 LoginPage: locator value is : //*[@id="password"]
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:164)evel	2021-02-16 11:32:28 LoginPage: find element action is Completed
com.surveillance.utilitiy.GenericKeywords.highlightElement(GenericKeywords.java:304)evel	2021-02-16 11:32:28 LoginPage: highlightElement action is Completed
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:134)evel	2021-02-16 11:32:28 LoginPage: find element action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:135)evel	2021-02-16 11:32:28 LoginPage: locator indicator is : xpath
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:136)evel	2021-02-16 11:32:28 LoginPage: locator value is : //*[@id="password"]
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:164)evel	2021-02-16 11:32:28 LoginPage: find element action is Completed
com.surveillance.utilitiy.GenericKeywords.enterData(GenericKeywords.java:263)evel	2021-02-16 11:32:28 LoginPage: enter data action is Completed
com.surveillance.utilitiy.GenericKeywords.highlightElement(GenericKeywords.java:299)evel	2021-02-16 11:32:28 LoginPage: highlightElement action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:134)evel	2021-02-16 11:32:28 LoginPage: find element action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:135)evel	2021-02-16 11:32:28 LoginPage: locator indicator is : xpath
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:136)evel	2021-02-16 11:32:28 LoginPage: locator value is : //*[@id="authForm"]/div/div/button
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:164)evel	2021-02-16 11:32:28 LoginPage: find element action is Completed
com.surveillance.utilitiy.GenericKeywords.highlightElement(GenericKeywords.java:304)evel	2021-02-16 11:32:28 LoginPage: highlightElement action is Completed
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:134)evel	2021-02-16 11:32:28 LoginPage: find element action is started
com.surveillance.utilitiy.GenericKeywords.elementFind(GenericKeywords.java:135)evel	2021-02-16 11:32:28 LoginPage: locator indicator is : xpath
